"","full_name","castaway_id","castaway","version","version_season","season_name","season","age","city","state","episode","day","order","result","jury_status","original_tribe","date_of_birth","date_of_death","gender","race","ethnicity","poc","occupation","personality_type","screen_time_ep1","confessional_count_ep1","ncontestants","age_group","OUT"
"258","Denise Martin","US0234","Denise","US","US15","Survivor: China",15,40,"Douglas","Massachusetts",14,38,13,"13th voted out","7th jury member","Fei Long",1967-05-05,NA,"Female",NA,NA,"White","School Lunch Lady","ISFP",NA,1,16,"35-39",NA
"259","Denise Stapley","US0386","Denise","US","US25","Survivor: Philippines",25,41,"Cedar Rapids","Iowa",15,39,18,"Sole Survivor",NA,"Matsing",1971-01-01,NA,"Female",NA,NA,"White","Sex Therapist","INFJ",NA,3,18,"40-44",NA
"260","Denise Stapley","US0386","Denise","US","US40","Survivor: Winners at War",40,48,"Marion","Iowa",14,36,17,"17th voted out","14th jury member","Sele",1971-01-01,NA,"Female",NA,NA,"White","Sex Therapist","INFJ",NA,1,22,"45-50",NA
"261","Des Quilty","AU0001","Des","AU","AU01","Survivor Australia: 2016",1,59,"Sunshine Coast","QLD",1,2,1,"1st voted out",NA,"Aganoa",NA,NA,"Male",NA,NA,NA,"Courier Driver",NA,NA,11,24,"56-60",1
"262","Deshawn Radden","US0601","Deshawn","US","US41","Survivor: 41",41,26,"Miami","Florida",13,26,17,"Runner-up",NA,"Luvu",1995-09-17,NA,"Male","Black",NA,"POC","Medical Student","ENTP",NA,4,18,"26-29",NA
"263","Desiree Afuye","US0526","Desiree","US","US36","Survivor: Ghost Island",36,21,"Brooklyn","New York",9,27,10,"10th voted out","3rd jury member","Naviti",1996-02-03,NA,"Female","Black",NA,"POC","Student","ESFP",NA,1,20,"18-21",NA
"264","Desiree Williams","US0506","Desi","US","US35","Survivor: Heroes vs. Healers vs. Hustlers",35,27,"Newport News","Virginia",8,21,8,"8th voted out","1st jury member","Soko",1989-06-14,NA,"Female","Black",NA,"POC","Phyiscal Therapist","ESFJ",NA,1,18,"26-29",NA
"265","Diane Ogden","US0033","Diane","US","US03","Survivor: Africa",3,42,"Lincoln","Nebraska",1,3,1,"1st voted out",NA,"Boran",1959-04-27,NA,"Female",NA,NA,"White","U.S. Mail Carrier","ESTP",NA,1,16,"40-44",1
"266","Dino Paulo","SA0133","Dino","SA","SA08","Survivor South Africa: Immunity Island",8,30,"Johannesburg","Gauteng",6,16,7,"7th voted out",NA,"Zamba",NA,NA,"Male",NA,NA,NA,"Live Escape Game Owner",NA,NA,7,20,"26-29",NA
"267","Dino Paulo","SA0133","Dino","SA","SA09","Survivor South Africa: Return of the Outcasts",9,31,"Johannesburg","GP",23,38,20,"Sole Survivor",NA,"Yontau",NA,NA,"Male",NA,NA,NA,"Live Escape Game Owner",NA,NA,3,20,"30-34",NA
"268","Dirk Been","US0005","Dirk","US","US01","Survivor: Borneo",1,23,"Spring Green","Wisconsin",5,15,5,"5th voted out",NA,"Tagi",1976-06-15,NA,"Male",NA,NA,"White","Dairy Farmer","ISFP",NA,1,16,"22-25",NA
"269","Dolly Neely","US0114","Dolly","US","US09","Survivor: Vanuatu",9,25,"Lake Latonka","Pennsylvania",2,6,2,"2nd voted out",NA,"Yasur",1978-11-18,NA,"Female",NA,NA,"White","Sheep Farmer","ISFP",NA,1,18,"22-25",NA
"270","Domenick Abbate","US0535","Domenick","US","US36","Survivor: Ghost Island",36,38,"Nesconset","New York",14,39,19,"Runner-up",NA,"Naviti",1978-10-31,NA,"Male",NA,NA,"White","Construction Supervisor","ESTP",NA,10,20,"35-39",NA
"271","Don Soper","SA0001","Don","SA","SA01","Survivor South Africa: Panama",1,54,"Johannesburg","Gauteng",1,3,1,"1st voted out",NA,"Rana",1951-12-22,NA,"Male",NA,NA,NA,"Businessman",NA,NA,3,16,"51-55",1
"272","Donathan Hurley","US0532","Donathan","US","US36","Survivor: Ghost Island",36,25,"Kimper","Kentucky",13,37,16,"16th voted out","9th jury member","Malolo",1991-07-19,NA,"Male",NA,NA,"White","Caretaker","ENFP",NA,6,20,"22-25",NA
"273","Drea Wheeler","US0611","Drea","US","US42","Survivor: 42",42,34,"Montreal","Quebec",11,21,12,"11th voted out","5th jury member","Ika",1986-08-27,NA,"Female","Black",NA,"POC","Fitness Consultant","ENTJ",303,4,18,"30-34",NA
"274","Drew Christy","US0428","Drew","US","US29","Survivor: San Juan del Sur",29,25,"Winter Park","Florida",4,10,4,"4th voted out",NA,"Hunahpu",1989-05-18,NA,"Male",NA,NA,"White","Traveling Sales Representative","ESTP",NA,3,18,"22-25",NA
"275","Dwight Moore","US0629","Dwight","US","US43","Survivor: 43",43,21,"Collierville","Tennasse",NA,NA,NA,NA,NA,"Vesi",2000-08-30,NA,"Male",NA,NA,"POC","Graduate Student",NA,NA,5,NA,"18-21",NA
"276","Dyke Higginson","SA0024","Dyke","SA","SA02","Survivor South Africa: Malaysia",2,28,"Marina Beach","KZN",10,21,10,"10th voted out","1st jury member","Bajau",1979-06-11,NA,"Male",NA,NA,NA,"Landscaper",NA,NA,2,16,"26-29",NA
"277","Earl Cole","US0221","Earl","US","US14","Survivor: Fiji",14,35,"Santa Monica","California",15,39,19,"Sole Survivor",NA,"Ravu",1971-04-09,NA,"Male","Black",NA,"POC","Ad Executive","INFJ",NA,4,19,"30-34",NA
"278","Edgardo Rivera","US0213","Edgardo","US","US14","Survivor: Fiji",14,28,"Miami Beach","Florida",10,27,11,"10th voted out","4th jury member","Moto",1978-10-05,NA,"Male","Puerto Rican American","Hispanic or Latino","POC","Ad Executive","ESTP",NA,3,19,"26-29",NA
"279","Edna Ma","US0349","Edna","US","US23","Survivor: South Pacific",23,35,"Los Angeles","California",13,32,14,"14th voted out","6th jury member","Upolu",1975-08-22,NA,"Female","Asian",NA,"POC","Anesthesiologist","ISTJ",NA,1,20,"30-34",NA
"280","Edward Fox","US0395","Eddie","US","US26","Survivor: Caramoan",26,23,"East Brunswick","New Jersey",14,38,17,"15th voted out","8th jury member","Gota",1989-04-15,NA,"Male",NA,NA,"White","Fireman/EMT","ESFP",NA,3,20,"22-25",NA
"281","Elaine Stott","US0584","Elaine","US","US39","Survivor: Island of the Idols",39,41,"Rockholds","Kentucky",12,35,14,"14th voted out","8th jury member","Lairo",1978-01-13,NA,"Female",NA,NA,"White","Factory Worker","ENFP",NA,7,20,"40-44",NA
"282","Elena Rowland","AU0022","El","AU","AU01","Survivor Australia: 2016",1,33,"Brisbane","QLD",26,54,22,"21st voted out","9th jury member","Aganoa",NA,NA,"Female",NA,NA,NA,"Army Corporal",NA,NA,3,24,"30-34",NA
"283","Elie Scot","US0630","Elie","US","US43","Survivor: 43",43,31,"Salt Lake City","Utah",NA,NA,NA,NA,NA,"Baka",1991-08-17,NA,"Female",NA,NA,"White","Clinical Psychologist",NA,NA,9,NA,"30-34",NA
"284","Elisabeth Filarski","US0029","Elisabeth","US","US02","Survivor: The Australian Outback",2,23,"Newton","Massachusetts",14,39,13,"12th voted out","6th jury member","Kucha",1977-05-28,NA,"Female",NA,NA,"White","Footwear Designer","INFP",NA,3,16,"22-25",NA
"285","Elisabeth Markham","US0463","Liz","US","US32","Survivor: Kaoh Rong",32,27,"New York City","New York",3,8,3,"3rd voted out",NA,"Chan Loh",1988-08-14,NA,"Female",NA,NA,"White","Quantitative Strategist","INTJ",NA,4,18,"26-29",NA
"286","Elise Smith","SA0018","Elise","SA","SA02","Survivor South Africa: Malaysia",2,24,"Sunninghill","GP",4,9,4,"4th voted out",NA,"Bajau",1983-01-18,NA,"Female",NA,NA,NA,"Hotel Manager",NA,NA,2,16,"22-25",NA
"287","Eliza Orlins","US0127","Eliza","US","US16","Survivor: Micronesia",16,25,"Manhattan","New York",9,24,11,"9th voted out","1st jury member","Malakal",1982-12-25,NA,"Female","White","Jewish","White","Pre-Law Student;Law School Student","ENTJ",NA,3,20,"22-25",NA
"288","Eliza Orlins","US0127","Eliza","US","US09","Survivor: Vanuatu",9,21,"Syracuse","New York",14,37,15,"15th voted out","6th jury member","Yasur",1982-12-25,NA,"Female","White","Jewish","White","Pre-Law Student;Law School Student","ENTJ",NA,6,18,"18-21",NA
"289","Elizabeth Beisel","US0582","Elizabeth","US","US39","Survivor: Island of the Idols",39,26,"Saunderstown","Rhode Island",10,30,12,"12th voted out","6th jury member","Lairo",1992-08-18,NA,"Female",NA,NA,"White","Olympic Medalist","ENFJ",NA,10,20,"26-29",NA
"290","Elizabeth Kim","US0289","Liz","US","US19","Survivor: Samoa",19,33,"New York City","New York",7,18,8,"6th voted out",NA,"Foa Foa",1975-11-24,NA,"Female","Asian","Korean American","POC","Urban Planner","INTP",NA,1,20,"30-34",NA
"291","Elizabeth Olson","US0544","Elizabeth","US","US37","Survivor: David vs. Goliath",37,31,"Longview","Texas",7,20,8,"6th voted out","1st jury member","David",1987-01-22,NA,"Female",NA,NA,"White","Kitchen Staff","ESTP",NA,3,20,"30-34",NA
"292","Elyse Umemoto","US0342","Elyse","US","US23","Survivor: South Pacific",23,27,"Las Vegas","Nevada",5,14,5,"5th voted out",NA,"Savaii",1984-05-10,NA,"Female","Asian","Hispanic or Latino, Native American","POC","Dance Team Manager","ENFP",NA,1,20,"26-29",NA
"293","Emmett Pugh","AU0112","Emmett","AU","AU06","Survivor Australia: Brains vs. Brawn",6,31,"Perth","WA",18,37,18,"17th voted out","4th jury member","Brawn",NA,NA,"Male",NA,NA,NA,"Health Coach",NA,NA,0,26,"30-34",NA
"294","Eric Abraham","US0591","Abraham","US","US41","Survivor: 41",41,51,"San Antonio","Texas",1,3,1,"1st voted out",NA,"Yase",1970-06-10,NA,"Male","Black",NA,"POC","Cyber Security Analyst","ESTJ",NA,2,18,"51-55",NA
"295","Eric Hafemann","US0562","Eric","US","US38","Survivor: Edge of Extinction",38,34,"Livermore","California",7,22,8,"8th voted out","4th jury member","Kama",1983-04-13,NA,"Male",NA,NA,"White","Firefighter","ESTP",NA,1,20,"30-34",NA
"296","Erica Durousseau","US0204","Erica","US","US14","Survivor: Fiji",14,27,"Baton Rouge","Louisiana",2,6,2,"2nd voted out",NA,"Ravu",1979-12-11,NA,"Female","Black",NA,"POC","Non-Profit Fundraiser","ESFP",NA,5,19,"26-29",NA
"297","Erik Cardona","US0290","Erik","US","US19","Survivor: Samoa",19,28,"Los Angeles","California",8,21,9,"7th voted out","1st jury member","Galu",1981-04-13,NA,"Male",NA,"Hispanic or Latino","POC","Bartender","ENTP",NA,1,20,"26-29",NA
"298","Erik Huffman","US0232","Erik","US","US15","Survivor: China",15,26,"Nashville","Tennessee",12,33,11,"11th voted out","5th jury member","Zhan Hu",1981-01-31,NA,"Male",NA,NA,"White","Musician","ISFP",NA,0,16,"26-29",NA
"299","Erik Reichenbach","US0246","Erik","US","US16","Survivor: Micronesia",16,22,"Ypsilanti","Michigan",13,36,16,"13th voted out","6th jury member","Airai",1985-11-27,NA,"Male",NA,NA,"White","Ice Cream Scooper;Comic Book Artist","INTP",NA,2,20,"22-25",NA
"300","Erika Casupanan","US0594","Erika","US","US41","Survivor: 41",41,32,"Toronta","Ontario",13,26,18,"Sole Survivor",NA,"Luvu",1989-07-20,NA,"Female","Asian",NA,"POC","Communications Manager","ENFP",NA,2,18,"30-34",NA
"301","Erin Collins","US0072","Erin","US","US05","Survivor: Thailand",5,26,"Austin","Texas",8,24,8,"8th voted out","1st jury member","Sook Jai",1976-01-07,NA,"Female",NA,NA,"White","Real Estate Agent","ESFP",NA,1,16,"26-29",NA
"302","Erinn Lobdell","US0279","Erinn","US","US18","Survivor: Tocantins",18,26,"Milwaukee","Wisconsin",14,38,14,"13th voted out","7th jury member","Timbira",1982-10-21,NA,"Female",NA,NA,"White","Hairstylist","ENFP",NA,2,16,"26-29",NA
"303","Ethan Zohn","US0048","Ethan","US","US40","Survivor: Winners at War",40,45,"Hillsborough","New Hampshire",3,9,4,"4th voted out","3rd jury member","Sele",1973-11-12,NA,"Male","White","Jewish","White","Professional Soccer Player;Social Entrepreneur/Keynote Speaker","ISFP",NA,3,22,"40-44",NA
"304","Ethan Zohn","US0048","Ethan","US","US08","Survivor: All-Stars",8,30,"New York City","New York",8,21,8,"6th voted out",NA,"Saboga",1973-11-12,NA,"Male","White","Jewish","White","Professional Soccer Player;Social Entrepreneur/Keynote Speaker","ISFP",NA,1,17,"26-29",NA
"305","Ethan Zohn","US0048","Ethan","US","US03","Survivor: Africa",3,27,"Lexington","Massachusetts",15,39,16,"Sole Survivor",NA,"Boran",1973-11-12,NA,"Male","White","Jewish","White","Professional Soccer Player;Social Entrepreneur/Keynote Speaker","ISFP",NA,4,16,"26-29",NA
"306","Evan Jones","AU0003","Evan","AU","AU01","Survivor Australia: 2016",1,30,"Melbourne","VIC",3,8,3,"3rd voted out",NA,"Aganoa",NA,NA,"Male",NA,NA,NA,"High School Teacher",NA,NA,4,24,"26-29",NA
"307","Evvie Jagoda","US0598","Evvie","US","US41","Survivor: 41",41,28,"Arlington","Massachusetts",9,17,10,"10th voted out","3rd jury member","Yase",1992-10-26,NA,"Non-binary","White","Jewish","White","Ph.D. Student","ENFP",NA,9,18,"26-29",NA
"308","Felicity Egginton","AU0021","Flick","AU","AU05","Survivor Australia: All Stars",5,26,"Gold Coast","Queensland",12,26,11,"12th voted out",NA,"Vakama",1992-12-15,NA,"Female",NA,NA,NA,"Personal Assistant",NA,NA,0,24,"26-29",NA
"309","Felicity Egginton","AU0021","Flick","AU","AU01","Survivor Australia: 2016",1,23,"Gold Coast","QLD",25,53,21,"20th voted out","8th jury member","Saanapu",1992-12-15,NA,"Female",NA,NA,NA,"Personal Assistant",NA,NA,4,24,"22-25",NA
"310","Felicity Palmateer","AU0117","Flick","AU","AU06","Survivor Australia: Brains vs. Brawn",6,28,"Margaret River","WA",20,43,20,"19th voted out","9th jury member","Brawn",1992-08-04,NA,"Female",NA,NA,NA,"Big Wave Surfer",NA,NA,1,26,"26-29",NA
"311","Felicity Palmateer","AU0117","Flick","AU","AU06","Survivor Australia: Brains vs. Brawn",6,28,"Margaret River","WA",24,47,24,"23rd voted out","9th jury member","Brawn",1992-08-04,NA,"Female",NA,NA,NA,"Big Wave Surfer",NA,NA,1,26,"26-29",NA
"312","Felix Godlo","SA0110","Felix","SA","SA07","Survivor South Africa: Island of Secrets",7,29,"Pretoria","Gauteng",5,12,5,"5th voted out",NA,"Ta'alo",NA,NA,"Male","Xhosa",NA,NA,"Sales Consultant",NA,NA,2,21,"26-29",NA
"313","Fenella McGowan","AU0066","Fenella","AU","AU03","Survivor Australia: Champions vs. Contenders",3,33,"Melbourne","VIC",21,44,20,"20th voted out","6th jury member","Contenders",NA,NA,"Female",NA,NA,NA,"Interior Designer",NA,NA,1,25,"30-34",NA
"314","Francesca Hogi","US0322","Francesca","US","US26","Survivor: Caramoan",26,38,"Brooklyn","New York",1,3,1,"1st voted out",NA,"Bikal",1973-11-03,NA,"Female","Black",NA,"POC","Attorney","INFJ",NA,9,20,"35-39",NA
"315","Francesca Hogi","US0322","Francesca","US","US22","Survivor: Redemption Island",22,36,"Washington","D.C.",1,3,1,"1st voted out",NA,"Ometepe",1973-11-03,NA,"Female","Black",NA,"POC","Attorney","INFJ",NA,7,20,"35-39",1
"316","Francois Chapman","SA0144","Chappies","SA","SA08","Survivor South Africa: Immunity Island",8,32,"Centurion","Gauteng",16,38,18,"16th voted out","10th jury member","Vuna",NA,NA,"Male",NA,NA,NA,"Transformation Coach",NA,NA,8,20,"30-34",NA
"317","Francois Chapman","SA0144","Chappies","SA","SA09","Survivor South Africa: Return of the Outcasts",9,33,"Centurion","GP",2,3,1,"1st voted out",NA,"Masu",NA,NA,"Male",NA,NA,NA,"Transformation Coach",NA,NA,7,20,"30-34",NA
"318","Frank Garrison","US0042","Frank","US","US03","Survivor: Africa",3,43,"Odessa","New York",11,30,10,"10th voted out","3rd jury member","Samburu",1958-07-22,NA,"Male",NA,NA,"White","Telephone Technician","ISTJ",NA,3,16,"40-44",NA
"319","Gabby Pascuzzi","US0549","Gabby","US","US37","Survivor: David vs. Goliath",37,25,"Denver","Colorado",11,32,13,"11th voted out","6th jury member","David",1993-03-23,NA,"Female","Asian",NA,"POC","Technical Writer","INFP",NA,5,20,"22-25",NA
"320","Gabriel Cade","US0053","Gabriel","US","US04","Survivor: Marquesas",4,23,"Hollywood","California",5,15,5,"5th voted out",NA,"Rotu",1978-07-01,NA,"Male",NA,NA,"White","Bartender","INFP",NA,2,16,"22-25",NA
"321","Gareth Tjasink","SA0012","Gareth","SA","SA01","Survivor South Africa: Panama",1,27,"Johannesburg","Gauteng",12,27,12,"10th voted out","3rd jury member","Rana",1979-12-05,NA,"Male",NA,NA,NA,"Medical Doctor",NA,NA,7,16,"26-29",NA
"322","Garrett Adelstein","US0408","Garrett","US","US28","Survivor: Cagayan",28,27,"Santa Monica","California",1,6,2,"2nd voted out",NA,"Luzon",1986-05-16,NA,"Male","White","Jewish","White","Pro Poker Player","INTP",NA,11,18,"26-29",2
"323","Garth Collins","SA0032","Garth","SA","SA03","Survivor South Africa: Santa Carolina",3,43,"Johannesburg","Gauteng",1,3,2,"1st voted out",NA,"Chibudu",1967-01-16,NA,"Male",NA,NA,NA,"Actor",NA,NA,2,18,"40-44",NA
"324","Gary Hogeboom","US0161","Gary","US","US11","Survivor: Guatemala",11,46,"Grand Haven","Michigan",11,30,12,"12th voted out","3rd jury member","Yaxha",1958-08-21,NA,"Male",NA,NA,"White","Ex-NFL Quarterback","INFJ",NA,2,18,"45-50",NA
"325","Gavin Wanganeen","AU0098","Gavin","AU","AU06","Survivor Australia: Brains vs. Brawn",6,48,"Adelaide","SA",3,7,3,"3rd voted out",NA,"Brawn",1973-06-18,NA,"Male","Aboriginal or Torres Strait Islander",NA,NA,"AFL legend",NA,NA,1,26,"45-50",NA
"326","Gavin Whitson","US0570","Gavin","US","US38","Survivor: Edge of Extinction",38,23,"Erwin","Tennessee",14,39,19,"Runner-up",NA,"Kama",1994-07-20,NA,"Male",NA,NA,"White","YMCA Program Director","ISFJ",NA,1,20,"22-25",NA
"327","Gena Alkana","SA0074","Gena","SA","SA05","Survivor South Africa: Champions",5,29,"Sea Point","Western Cape",7,13,7,"7th voted out",NA,"Selatan",NA,NA,"Female",NA,NA,NA,"PR Manager",NA,NA,3,20,"26-29",NA
"328","Genie Chen","US0595","Genie","US","US41","Survivor: 41",41,46,"Portland","Oregon",5,11,6,"6th voted out",NA,"Ua",1975-03-04,NA,"Female","Asian",NA,"POC","Grocery Clerk","ISFP",NA,2,18,"45-50",NA
"329","Geo Bustamante","US0631","Geo","US","US43","Survivor: 43",43,35,"Honalulu","Hawaii",NA,NA,NA,NA,NA,"Coco",1986-08-22,NA,"Male",NA,NA,"POC","Project Manager",NA,NA,3,NA,"30-34",NA
"330","Geoffrey Cooke-Tonnesen","SA0115","Geoffrey","SA","SA07","Survivor South Africa: Island of Secrets",7,33,"Colenso","Kwa Zulu Natal",10,24,10,"10th voted out","2nd jury member","Laumei",NA,NA,"Male",NA,NA,NA,"Home Loans Consultant",NA,NA,4,21,"30-34",NA
"331","George Mladenov","AU0118","George","AU","AU06","Survivor Australia: Brains vs. Brawn",6,31,"Sydney","NSW",24,48,25,"Runner-up",NA,"Brains",NA,NA,"Male",NA,NA,NA,"Public Surfer",NA,NA,8,26,"30-34",NA
"332","Georgia Bergerson","NZ0006","Georgia","NZ","NZ01","Survivor NZ: Nicaragua",1,26,"Palmerston North",NA,6,12,6,"5th voted out",NA,"Hermosa",NA,NA,"Female",NA,NA,NA,"Singer/Dancer",NA,NA,5,19,"26-29",NA
"333","Georgia Ray","AU0104","Georgia","AU","AU06","Survivor Australia: Brains vs. Brawn",6,35,"Noosaville","QLD",10,21,9,"9th voted out",NA,"Brains",NA,NA,"Female",NA,NA,NA,"Forensic Psychologist",NA,NA,0,26,"30-34",NA
"334","Gerald Youles","AU0110","Gerald","AU","AU06","Survivor Australia: Brains vs. Brawn",6,26,"Kilcoy","QLD",16,33,16,"15th voted out","2nd jury member","Brawn",NA,NA,"Male",NA,NA,NA,"Champion Wood Chopper",NA,NA,0,26,"26-29",NA
"335","Gervase Peterson","US0010","Gervase","US","US27","Survivor: Blood vs. Water",27,43,"Philadelphia","Pennsylvania",15,39,21,"2nd runner-up",NA,"Galang",1969-11-02,NA,"Male","Black",NA,"POC","YMCA Basketball Coach;Cigar Lounge Owner","ESTP",NA,4,23,"40-44",NA
"336","Gervase Peterson","US0010","Gervase","US","US01","Survivor: Borneo",1,30,"Willingboro","New Jersey",10,30,10,"10th voted out","3rd jury member","Pagong",1969-11-02,NA,"Male","Black",NA,"POC","YMCA Basketball Coach;Cigar Lounge Owner","ESTP",NA,0,16,"26-29",NA
"337","Ghandia Johnson","US0068","Ghandia","US","US05","Survivor: Thailand",5,33,"Denver","Colorado",4,12,4,"4th voted out",NA,"Chuay Gahn",1969-01-03,NA,"Female","Black",NA,"POC","Legal Secretary","ESFP",NA,9,16,"30-34",NA
"338","GiGi van Schalkwyk","SA0048","GiGi","SA","SA03","Survivor South Africa: Santa Carolina",3,42,"Johannesburg","Gauteng",14,27,18,"Sole Survivor",NA,"Chibudu",1967-08-28,NA,"Female",NA,NA,NA,"Exotic Dancer",NA,NA,3,18,"40-44",NA
"339","Gillian Larson","US0249","Gillian","US","US17","Survivor: Gabon",17,61,"Temecula","California",1,6,2,"2nd voted out",NA,"Fang",1947-02-24,NA,"Female",NA,NA,"White","Retired Nurse","ENFP",NA,7,18,"61-65",NA
"340","Gina Crews","US0054","Gina","US","US04","Survivor: Marquesas",4,28,"Gainesville","Florida",6,18,6,"6th voted out",NA,"Maraamu",1973-02-07,NA,"Female",NA,NA,"White","Nature Guide","ISFJ",NA,6,16,"26-29",NA
"341","Graham Jenneker","SA0087","Graham","SA","SA05","Survivor South Africa: Champions",5,28,"Bellville","Western Cape",18,27,20,"Sole Survivor",NA,"Selatan",NA,NA,"Male",NA,NA,NA,"Financial Manager",NA,NA,2,20,"26-29",NA
"342","Grant Clark","SA0029","Grant","SA","SA02","Survivor South Africa: Malaysia",2,35,"Tokai","WC",13,27,15,"Runner-up",NA,"Iban",1972-05-05,NA,"Male",NA,NA,NA,"Martime Lawyer",NA,NA,2,16,"30-34",NA
"343","Grant Mattos","US0334","Grant","US","US22","Survivor: Redemption Island",22,29,"West Hollywood","California",13,35,15,"15th voted out","5th jury member","Ometepe",1981-03-12,NA,"Male",NA,NA,"White","Ex-NFL Player","ISFP",NA,0,20,"26-29",NA
"344","Greg Buis","US0008","Greg","US","US01","Survivor: Borneo",1,24,"Gold Hill","Colorado",8,24,8,"8th voted out","1st jury member","Pagong",1975-12-31,NA,"Male",NA,NA,"White","Ivy League Graduate","INTP",NA,0,16,"22-25",NA
"345","Greg Smith","US0366","Tarzan","US","US24","Survivor: One World",24,64,"Houston","Texas",13,36,13,"11th voted out","7th jury member","Manono",1947-12-12,NA,"Male",NA,NA,"White","Plastic Surgeon","INTP",NA,1,17,"61-65",NA
"346","Gregg Carey","US0145","Gregg","US","US10","Survivor: Palau",10,27,"Chicago","Illinois",12,33,15,"11th voted out","4th jury member","Koror",1977-01-09,NA,"Male",NA,NA,"White","Business Consultant","INTP",NA,1,20,"26-29",NA
"347","Gretchen Cordy","US0007","Gretchen","US","US01","Survivor: Borneo",1,38,"Clarksville","Tennessee",7,21,7,"7th voted out",NA,"Pagong",1962-02-07,NA,"Female",NA,NA,"White","Teacher","ESFJ",NA,1,16,"35-39",NA
"348","Gys de Villiers","SA0042","Gys","SA","SA03","Survivor South Africa: Santa Carolina",3,49,"Knysna","Western Cape",10,21,12,"10th voted out","4th jury member","Chibudu",1960-11-04,NA,"Male",NA,NA,NA,"Actor",NA,NA,0,18,"45-50",NA
"349","Hai Giang","US0612","Hai","US","US42","Survivor: 42",42,29,"New Orleans","Louisiana",10,19,11,"10th voted out","4th jury member","Vati",1992-12-31,NA,"Male","Asian","Asian American","POC","Data Scientist","INFP",190,3,18,"26-29",NA
"350","Hali Ford","US0450","Hali","US","US34","Survivor: Game Changers",34,26,"Knoxville","Tennessee",7,21,8,"8th voted out","1st jury member","Mana",1989-07-20,NA,"Female",NA,NA,"White","Law Student","INFP",NA,1,20,"26-29",NA
"351","Hali Ford","US0450","Hali","US","US30","Survivor: Worlds Apart",30,25,"San Francisco","California",8,22,8,"8th voted out","1st jury member","Nagarote",1989-07-20,NA,"Female",NA,NA,"White","Law Student","INFP",NA,2,18,"22-25",NA
"352","Hanna Grobler","SA0039","Hanna","SA","SA03","Survivor South Africa: Santa Carolina",3,28,"Johannesburg","Gauteng",7,15,9,"7th voted out","1st jury member","Chibudu",1982-01-15,NA,"Female",NA,NA,NA,"Actress",NA,NA,1,18,"26-29",NA
"353","Hannah Gough","NZ0001","Hannah","NZ","NZ01","Survivor NZ: Nicaragua",1,27,"Whangarei",NA,1,1,1,"1st voted out",NA,"Mogoton",NA,NA,"Female",NA,NA,NA,"Kindergarten Teacher",NA,NA,4,19,"26-29",1
"354","Hannah Pentreath","AU0080","Hannah","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,27,"Bendigo","VIC",10,22,9,"9th voted out",NA,"Contenders",NA,NA,"Female",NA,NA,NA,"Police Officer",NA,NA,0,25,"26-29",NA
"355","Hannah Shapiro","US0496","Hannah","US","US33","Survivor: Millennials vs. Gen X",33,24,"West Hollywood","California",14,39,18,"Co-runner-up",NA,"Vanua",1992-02-24,NA,"Female","White","Jewish","White","Barista","ENFP",NA,3,20,"22-25",NA
"356","Harry Hills","AU0092","Harry","AU","AU05","Survivor Australia: All Stars",5,30,"Perth","Western Australia",15,32,14,"15th voted out","2nd jury member","Mokuta",NA,NA,"Male",NA,NA,NA,"Ice Cream Maker",NA,NA,4,24,"26-29",NA
"357","Harry Hills","AU0092","Harry","AU","AU04","Survivor Australia: Champions vs. Contenders (2019)",4,30,"Perth","WA",24,49,23,"22nd voted out","9th jury member","Contenders",NA,NA,"Male",NA,NA,NA,"Ice Cream Maker",NA,NA,0,25,"26-29",NA
"358","Harry Wiggins","SA0058","Harry","SA","SA04","Survivor South Africa: Maldives",4,27,"Worcester","Western Cape",7,15,10,"8th voted out","3rd jury member","Pleb",NA,NA,"Male",NA,NA,NA,"Maths Lecturer",NA,NA,2,19,"26-29",NA
"359","Hayden Moss","US0405","Hayden","US","US27","Survivor: Blood vs. Water",27,27,"Springtown","Texas",13,35,18,"15th voted out","5th jury member","Tadhana",1986-05-27,NA,"Male",NA,NA,"White","Real Estate","ESFP",NA,2,23,"26-29",NA
"360","Hayley Leake","AU0119","Hayley","AU","AU06","Survivor Australia: Brains vs. Brawn",6,31,"Sydney","NSW",15,31,15,"14th voted out",NA,"Brains",NA,NA,"Female",NA,NA,NA,"Pain Researcher",NA,NA,5,26,"30-34",NA
"361","Hayley Leake","AU0119","Hayley","AU","AU06","Survivor Australia: Brains vs. Brawn",6,31,"Sydney","NSW",24,48,26,"Sole Survivor",NA,"Brains",NA,NA,"Female",NA,NA,NA,"Pain Researcher",NA,NA,5,26,"30-34",NA
"362","Heath Davies","AU0059","Heath","AU","AU03","Survivor Australia: Champions vs. Contenders",3,33,"Brisbane","QLD",13,30,13,"13th voted out",NA,"Contenders",NA,NA,"Male",NA,NA,NA,"Builder",NA,NA,1,25,"30-34",NA
"363","Heather Aldret","US0593","Heather","US","US41","Survivor: 41",41,52,"Charleston","South Carolina",13,25,15,"15th voted out","8th jury member","Luvu",1969-03-01,NA,"Female",NA,NA,"White","Stay-at-home Mom","ISFJ",NA,1,18,"51-55",NA
"364","Heidi Strobel","US0092","Heidi","US","US06","Survivor: The Amazon",6,24,"Jefferson City","Missouri",13,36,12,"12th voted out","5th jury member","Jaburu",1978-10-29,NA,"Female",NA,NA,"White","Gym Teacher","ENTJ",NA,7,15,"22-25",NA
